LINE,END_WORD
"Yeah, yeah, yeah",yeah
I hit your DM baby,baby
"Took the screenshot, yeah, you tried to play me",me
I bet this shit was good for your reputation,reputation
I just let it go so I could see you naked,naked
"Holy moly, look what you roll in",in
Million followers but your bumpers broken,broken
What's your focus?,focus
Tell me what your goal is,is
I know you only like me 'cause I just spent a hundred bands in one night,night
Spent a hundred bands in one night,night
I know you wanna live this life,life
"But I can't make a ho a housewife (ohh, no)",no
What's your name? Who's your daddy?,daddy
Is he rich like me? Is he rich like me?,me
"Population four million, how I see the same bitch? (uh, yeah)",yeah
"Population four million, how I see the same bitch? (Gerald)",gerald
Everywhere I go I see the same ho,ho
"Always post selfies on the 'Gram from a angle, a Catfish",catfish
"Hollywood devil, not a angel",angel
"Her bag is Chanel, but she drive a Durango",durango
"Yeah, and I'm gettin' to the queso",queso
Woke and I'm hip to the game so I'm thankful,thankful
OGs put me on to a song lace bro,bro
Real recognizin' that you don't speak the lingo,lingo
"Clothes all new, not a wrinkle",wrinkle
"Giving you the game with the game, gettin' sprinkled",sprinkled
Bottles on deck in my drink fool,fool
"And I turn to a beast, I'm a dog, I'm a pitbull",pitbull
"This life did to me, I can't switch back",back
If I take her then you'll never get your bitch back (yeah),yeah
"The beat knockin', yeah this shit cloud",cloud
Welcome to the west where people gettin' rich at (ayy),ayy
I been in L.A. too long (G),g
"I see the same bitches everywhere I go (It's Eazy, you know?)",know
"It don't really matter where they from (yee, yee, yee)",yee
"Acting or model, heard it all before (ayy)",ayy
"Population four million, how I see the same bitch? (west side nigga)",nigga
"Population four million, how I see the same bitch? (hol' up, let me talk my shit)",shit
Me and my bros hit the same hoes,hoes
"L.A., Hollywood, that's some Valley hoes",hoes
"Do I know how to fuck, they all know",know
"Ye, yeah, fuck it, go down baby",baby
I'm with the program baby,baby
"Ridin' through the streets, you with the hometown baby",baby
I'm tryna do it for the brother like Motown baby,baby
She fucked the L.A. Laker for the record,record
She fucked a Dodger baseball player for the record,record
Fucked the head of my record label (ooh),ooh
How you think she been so stable?,stable
"Ah damn, ah damn, but she down to fuck",fuck
"Designer everything, Benz Truck",truck
"Pullin' up with you friend, tell me who she is",is
"Oh, never mind, my friend fucked",fucked
"Population four million, how I see the same bitch? (haha, never mind my friend fucked)",fucked
"Population four million, how I see the same bitch? (I see the same bitch)",bitch
It happens every time,time
It sounds like suicide,suicide
