LINE,END_WORD
Let me tell you somethin',somethin
"Don't get it twisted, baby girl",girl
Baby boy 'cause Timbaland ain't dead,dead
"Yeah, yeah, yeah, yeah, bounce",bounce
"Girl, Timbaland ain't dead",dead
What haters say about me don't worry me,me
I keep it moving forward to what's ahead of me,me
You gonna see,see
I'm not gonna waste energy,energy
Cause I'm free and I'm a freak,freak
All the people I love I try to keep,keep
We get deep,deep
Keep it street,street
And were never gonna stay asleep,asleep
I keep it moving forward to,to
What's ahead of me,me
You gonna see I'm gonna be,be
And you're gonna remember me,me
I'm someone's shot of whiskey,whiskey
Not everyone's tea,tea
Underneath my trouble,trouble
I'm gonna find me the treble,treble
And underneath my case,case
I'm gonna find me the bass,bass
You get through,through
You get truth,truth
And that's how it's gonna be,be
Cause I'm free I'm a freak I can see what's real and fantasy What you believe,believe
You gotta see,see
Life on the planet's university,university
I'm free and I'm a freak,freak
Finally what haters say about me don't worry me,me
Theres nothing in this life thats guaranteed,guaranteed
Thats why we get high on reality,reality
Memories and families,families
Work and money and stay happy,happy
Life on the planets university,university
You get stronger in adversity,adversity
What you mean It's easy,easy
Life's just a bitter sweet symphony,symphony
"Road runner, road runner",runner
Going hundred miles per hour,hour
With your radio on,on
"Go low, go slow",slow
Roll like a pollo,pollo
Up and down a pole,pole
Like you're glowing up a yo-yo,yo yo
"Yeah yeah, YOLO",yolo
Bombs go off when I enter the building,building
I drink some Cointreau,cointreau
Keep it in my poncho,poncho
Light up like Castro,castro
Blow it up from get go,go
"Pro when I set, go",go
Grow like an afro,afro
Play like Ronaldo,ronaldo
Hard like I'm Death Row,row
Weight in kilo,kilo
Light as a pillow,pillow
Dance on my tip-toe,tip toe
Like I tae-box though,though
Yeah we come come come,come
Yeah we come with some some,some
Get a glass of rum,rum
With a gun and some pun pun,pun
Oh fun fun fun,fun
Let's get 'em undone,undone
Take a hit on the bong,bong
It's been so long since we hung,hung
Anti war war,war
M.I.A. underscore,underscore
I got the law law,law
Searching for me on tour,tour
Bankin offshore,offshore
Take a trip to Singapore,singapore
I need to earn like,like
I'm Julianne Moore,moore
For the hour poor,poor
Don't wanna ignore,ignore
That's why I say shit,shit
So they can explore,explore
"My baby, I amore",amore
My mommy I adore,adore
I tried to stay pure,pure
Can't take it anymore,anymore
"YALA, YALA",yala
I'm rolling solo,solo
You can't take a photo,photo
I'mma keep it raw raw,raw
"YOLO? I don't even know anymore, what that even mean though",though
If you only live once why we keep doing the same shit,shit
Back home where I come from we keep being born again and again and again,again
That's why they invented karma,karma
Jimmy gone M.I.A.,mia
Come back Jimmy,jimmy
When you go Rwanda Congo,congo
Take me on a genocide tour,tour
Take me on a truck to Darfur,darfur
Take me where you would go,go
Got static on ya satellite phone,phone
Gotta get you safe at home,home
Gotta get you somewhere warm,warm
So you get me all alone,alone
Time and time and time and time again,again
You keep pushing that button but I don't know what you're sayin',sayin
"You hit me on AIM, tryin' to flip me on some game.",game
"Are you coming, are you going, are you leaving, are you staying?",staying
You tell me that you're busy,busy
Your lovin makes me crazy,crazy
I know that you hear me,me
Start actin like you want me!,me
Time and time and time again,again
"You keep pushing me, what are you sayin?",sayin
"You hit me on AIM, tryin' to flip me some game",game
But I still don't know what you're sayin.,sayin
I know you hear me sing!,sing
There's a thousand ways to meet you now,now
There's a thousand ways to track you down,down
Whatever you said and done,done
There's a thousand ways to make it count,count
There is nothing that can touch me now,now
You can't even break me down,down
Every time you think of some,some
It's all ready been did and done,done
Can I be your best friend?,friend
Can I make it to the end?,end
Can you give me some of what,what
You went and gave them?,them
Come walk with me,me
"You ain't gotta shake it, just be with me",me
You ain't gotta throw your hands in the air,air
Cause tonight we ain't actin' like we don't care,care
"It's cool it takes two, I'm gonna still fux with you",you
Almost there,there
Tryna feel like what that feels like,like
When someone makes you feel alright,alright
We can take the same path tonight,tonight
For the ride I got plenty of time,time
"What doesn't kill us, it makes us stronger",stronger
That's why my roads get longer and longer,longer
My tracks are less traveled here to Uganda,uganda
Can we touch base just to discuss agenda?,agenda
The fullest exTENT of my inTENT is to let you know what is imporTENT,importent
My exisTENTS is miliTENT cause my conTENT bangs like it's poTENT,potent
"ResisTENT to the polluTENT, never hesiTENT, always consisTENT",consistent
"I back it up, yeah I'm very blaTENT",blatent
Don't try to copy this cause I paTENT,patent
Runnin on the streets causing TENTsion,tentsion
"Running through, running through, running through",through
"Hey, hey, hey - aTENTion!!!!",atention
Got to see my life from a disTENTS,distents
"For insTENTS, my friends say I act TENTS",tents
I'm a refugee from a yellow brick TENT,tent
PastTENT presentTENT and futureTENT,futuretent
Our borough is long like a senTENTS,sentents
Its inTENT bitches its insTENT,instent
We live with disTENT to presiTENT,presitent
For aTENTion about my TENT,tent
Things fall on our heads like we're newTENT,newtent
So don't drop that ball on that buTENT,butent
We're aliens but we're not muTENT,mutent
We TENT out of TENT - acounTENT,acountent
There's 36 chambers in my Wu TENT,tent
We slangTENT in benneTENT,bennetent
While you dance in your LoubouTENT,louboutent
We be makin TENT out ya curTENT,curtent
When we come through we fly as fuck though,though
I can mess with you but what for,for
If I play with you it'll be a draw,draw
Match made in heaven who's keeping score,score
"Everywhere, every door there's nowhere where we won't go",go
"Every step, every blow we're always going to get goals",goals
Relationship goals are you and me,me
Fighting H-A-T-E with L-O-V-E,l o v e
Ride of your life you better bring your GoPro,gopro
Don't need no pros 'cause we're gonna go slow,slow
Love is the answer what's the question I don't knoe,knoe
Staring at the wall and I'm waiting for the call,call
Pick up your receiver,receiver
I'll make you a believer,believer
It started when you asked me what are those,those
I looked at you and I was glad you don't know,know
I started walking by and it was special,special
That little dance you did was the best show,show
I drove to the store when my fuel's low,low
I'm still heading somewhere and it feels raw,raw
Baby when we play it'll be a draw,draw
A match made in heaven who's keeping score,score
Ride of your life better bring your GoPro,gopro
Love is the answer what's the question I don't know,know
"Cry me a river, cry me a river",river
Would you let me flow or set me bon voyage,voyage
Gonna need you more like the ground I wear,wear
We can make a pair like breath and the air,air
Go to the top or be low,low
Tastes better than any combo,combo
Xs and Os playing tic-tac-toe,tic tac toe
"We best friends, I guess so",so
China girl was a little girl from a town,town
That's all you need to know,know
Lolita was a man eater,eater
Clocked him like a taxi meter,meter
"Fuck gold, she was a platinum digger",digger
Shakin' ass making moves on a mover,mover
"Visa, then a plane ride to ya",ya
"Peace, she'll kill you like uma",uma
She skipped away to the shop,shop
She found she didn't have enough,enough
She clocked him looking right at her,her
And sucked on a lollipop,lollipop
"Hey, what now?",now
China girl grew up to be a big girl,girl
Had her sights set on a bigger world,world
Dial a bride from Sri Lanka,lanka
Found herself a Yorkshire banker,banker
Need a visa? Got wth a geezer,geezer
Need some money?,money
Paid him with her knees up,up
"Year later, started to ease up",up
"Got her own way, shouted out, ""See ya""",ya
She sucked on a lollipop,lollipop
"Yeah, what can I get for 10 dollar?",dollar
Anything you want,want
UH OH you're in trouble,trouble
I step up in the game and I burst that bubble,bubble
Bought up a baby in a bandana,bandana
I boarded a boeing eating a banana,banana
Bounce on the bed,bed
Battling with heads,heads
It's based on a story that nobody read,read
(people see me as trouble see me see me as trouble),trouble
See me see me as trouble,trouble
UH OH,oh
COZ I got a reputation,reputation
GOT A GOT A reputation,reputation
And I got a reputation,reputation
Played in the park,park
Packed with piranhas,piranhas
I jump in puddle,puddle
Singing NIRVANA,nirvana
Passed by the past and I end at the start,start
Now I'm living the life and I'm gonna raise the bar,bar
Do you know my name,name
Do you know my number,number
Do you know by summer I will make you a member,member
I know you're busy running round with Linda,linda
If I don't get you now then I'll get you by december,december
You're dancing styles out dated like tinga,tinga
These girls in caps MAMI snap your finger,finger
I drift in deserts from bumper to bumper,bumper
We can rock a dress or we can rock a jumper,jumper
You want that pain so I set you on fire,fire
These girls are high but I take you lot higher,higher
So get your beer it's tiger orna,orna
We throw up heat like a bunsen burner!,burner
You know my badman style,style
Coz I'm from Lanka,lanka
Eat up a falafel,falafel
Say danke danke,danke
If I'm in street fighter,fighter
I'll be like blanka,blanka
Roll like a ball and I'll bleed you like a banker,banker
Do you know my name name name name name name,name
"I'm so tangy, people call me Mathangi",mathangi
"Goddess of word, bitches I'mma keep it banging",banging
"Truth is like a rotten tooth, you gotta spit it out!",out
"Let the bottom two, let my wisdom work it out",out
"Big on the underground, can't knock me down",down
"Vicki Leekx bitches, back by dope demand",demand
I sleep on my talent and I stand by it too,too
I can say lots with a little words or few like,like
"Like Adam had 'em, yeh, me, the madame",madame
Yeah I'll introduce you to the dooms do dooms,dooms
"Come let we go, do you like my perfumes?",perfumes
Made it at home with some gasoline and shrooms,shrooms
Oil and water are two extremes,extremes
"We like fucking carpets, you like fucking brooms",brooms
Why is your tattoo some ugly looking thing?,thing
I got many designs they're downloading on Bing,bing
My cousin got his G.C.S.E.'s decorating,decorating
He's handy you might need him when I finish what I'm saying,saying
"Let's be frank, you my Stan, I'm your Stan",stan
"I don't care what you smoke, what you fucking drank",drank
I'm allowed to be pissed at mates who are yanks,yanks
"'Cause it's not me and you, it's the fucking banks!",banks
Bring the noise when we run upon them! (Bring the noize when we run upon them!),them
"Truth is like a rotten tooth, you gotta spit it out",out
"Two bottom teeth, let my wisdom work it out",out
"The world is ours, send your soldier powers",powers
"These words I announce, hope you heard 'em like cows",cows
"Alpha Kenny buddy, Roger, Charlie, and Rich",rich
"Bitch, my swag bitches, but you can't touch this",this
"So click, click, click, please get off my dick",dick
Just 'cause I know more don't make me thick,thick
"I'm a overweight, heavyweight, female Slick Rick",rick
If you need the cheese then my shits gon' stick,stick
"I got bug spray, bucket, stick",stick
"Got tons of the fun stuff, tons and tons of it",it
My nan was a stamp on imported liquor brands,brands
Seventy two bottles at her birthday got drank,drank
I must say people I got her to freaking thank,thank
"I'm a party fucking animal, if you ain't, scram!",scram
"Party fucking animal, if you ain't, scram!",scram
"P-p-party fucking animal, if you ain't, scram!",scram
"My uncle jumped a boat, it took him to Iran",iran
What started as a life now it got him banned,banned
"Came in a hurry, not a white van",van
"Learnt that Sam, Ram, Chan, are the same man",man
Corrugated iron wooden shacks,shacks
Gated mansions next to XX,xx
Boys on motor bikes next to Maybachs,maybachs
We got backpacks next to kids from Kyzack,kyzack
Ex-convicts and diplomats,diplomats
Got rappers and Russians who don't pay tax,tax
These cards are stacked and this is out crack,crack
"Rewind, pull it, now bring it all back",back
I'm a parrot,parrot
I'm robin this joint,joint
Not a lyre bird,bird
Sure ain't a vulture,vulture
Don't swallow that cause I make the culture,culture
"I'm not a lyre bird, I'm not a lyre bird",bird
"Staying, staying rich like an ostrich",ostrich
Love ain't a albatross hanging 'round ya neck,neck
"Drink a sparrow, love is food, take a peck",peck
"Let's go to Turkey, swift like a rail",rail
"Can't pigeon hole, I'm epic like a Zeus tail",tail
Free up my love,love
Doves cry,cry
Are you going home alone?,alone
