LINE,END_WORD
"E-everytime I score she gon' hear them swishes, ah",ah
"Tell that bitch I'm in the league, she still play for Wichita",wichita
"I piss hits broad, call me the swish God",god
"The swish, swish God? Yup, the swish God",god
"Aye you know I ain't like this, see no ski resort",resort
"Put that thing in parts, I'ma let my fit pick you apart",apart
"Glowing in the dark, pretty little girls on a board",board
"Mhm, shout-out Giovanni",giovanni
"For doing that ""Barbie Tingz"" video, uh-huh",uh-huh
"Nina Garcia, Stephen Gan, Elle mag yuh, uh-huh",uh-huh
I'm still on my Naomi shit,shit
Wilhelmina Models tip,tip
"Weezy, Mack, Baby, Slim",slim
"Gee, I see you, Jean, Tezz, El, Shawn Gee",gee
"Monte, Avery, Roppo, Joe, Katina, Mike, Dave, Garry, Josh",josh
"Rap, Jigga, Kim, Wiz, Hillary, Khloé , Biggz",biggz
"Juice, I see you Juice",juice
Keep me rollin' Juice,juice
"You're in the middle of Queen right now, thinking",thinking
I see why she called this shit Queen,queen
"This bitch is really the fucking Queen, hahaha...",hahaha
"I love my fans, I love you so much...",much
"Work hard, just to get half back",back
"(Used to) work hard, just to get half back",back
(Now I'm) gettin' to it that way,way
"(Straight up, straight up)",up
I ain't coming through unless the bag straight,straight
(I used to) work hard just to get half back,back
"Ayo, just last week I told 'em to pick a side",side
"I bust shots, don't duck if it don't apply",apply
"Bae out in Paris, he told me to pick a ride",ride
"Sike, made you look, I still didn't pick a guy",guy
"I'm the trophy of the game, everybody tryna win me",me
"Me, Olivier, Jourdan Dunn, my baby, Winnie",winnie
"Partying in Paris, these bitches is embarassed",embarassed
"'Cause they know I'm the queen, I still didn't pick an heiress",heiress
"Mirror, mirror, who's the fairest?",fairest
"(You the motherfucking fairest, Nicki)",nicki
What I drop on this watch?,watch
"(I don't know, about a hundred-fifty)",hundred-fifty
I'm who they wishin' to be,be
"These hoes is on the 'Gram, Nicki pitchin' the ki'",ki
"'Bout to cop Neverland, Michael up in the tree",tree
"You got bars and still broke? You might as well took the plea, uh",uh
"Be in the bando or would you rather move weight, Don Pablo? Uh",uh
"Ayo, just last week I told 'em they run done",done
My legacy could never be undone,undone
"I'm a prodigy, R.I.P Thun-Thun",thun-thun
"Got these bitches shook, they shocked, no stun-gun",stun-gun
"I'm the billy, billy goat, the goat, the goat's here",here
Vintage Hermès by Jean Paul Gaultier,gaultier
Lagerfeld customize my gold chair,chair
"I run the point, you bitches just go cheer",cheer
"Uh, look at my knockoffs, I told 'em knock it off",off
"Anything that Nicki do, you know they knock it off",off
"Put my crown on again, and I'ma knock it off",off
"Anything with Nicki in it, they gonna pocket off",off
"I mean profit off, my plug drop it off",off
"You see them copyin' my hair, tell 'em, ""Chop it off""",off
"Uh, bad gyal with the, top is off",off
You nuh see him downgrade when mi drop 'em off,off
"Uh, I ain't never played a hoe's position",position
I ain't ever have to strip to get the pole position,position
"Hoes is dissin'? Okay, these hoes is wishin'",wishin
You're in no position to come for O's position,position
"I ain't movin' weight, but I'm in the dope position",position
