LINE,END_WORD
So go and grab the reporters,reporters
So I can smash their recorders,recorders
See they'll confuse us with some bullshit,bullshit
Like the New World Order,Order
Meanwhile the DEA,DEA
Teamed up with the CCA,CCA
They tryna lock niggas up,up
They tryna make new slaves,slaves
See that's that privately owned prison,prison
Get your piece today,today
They prolly all in the Hamptons,Hamptons
Braggin' 'bout what they made,made
Fuck you and your Hampton house,house
I'll fuck your Hampton spouse,spouse
Came on her Hampton blouse,blouse
And in her Hampton mouth,mouth
Y'all 'bout to turn shit up,up
I'm 'bout to tear shit down,down
I'm 'bout to air shit out,out
Now what the fuck they gon' say now,now
I just need to clear my mind now,now
It's been racin' since the summertime,summertime
Now I'm holdin' down the summer now,now
And all I want is what I can't buy now,now
Cause I ain't got the money on me right now,now
And I told you to wait,wait
Yeah I told you to wait,wait
So I'mma need a little more time now,now
And I thought you could wait,wait
"Yeah, I thought you could wait",wait
These bitches surroundin' me,me
All want something out me,me
Then they talk about me,me
Would be lost without me,me
We could've been somebody,somebody
Thought you'd be different 'bout it,it
Now I know you not it,it
So let's get on with it,it
'stead you had to tell somebody,somebody
Let's take it back to the first party,party
When you tried your first molly,molly
And came out of your body,body
Running naked down the lobby,lobby
And you was screamin' that you love me,me
Before the limelight tore ya,ya
Before the limelight stole ya,ya
Remember we were so young,young
When I would hold you,you
Before the blood on the leaves,leaves
I know there ain't wrong with me,me
Something strange is happenin',happenin
You could've been somebody,somebody
"We could've ugh, we could've been somebody",somebody
Or was it on the first party,party
When we tried our first molly,molly
And came out of our body,body
Before they call lawyers,lawyers
Before you tried to destroy us,us
How you gon' lie to the lawyer,lawyer
It's like I don't even know ya,ya
I gotta bring it back to the 'nolia,nolia
"To all my second string bitches, try and get a baby",baby
"Trying to get a baby, now you talkin' crazy",crazy
I don't give a damn if you used to talk to Jay Z,Z
"He ain't with you, he with Beyoncé, you need to stop actin' lazy",lazy
She Instagram herself like BadBitchAlert,BadBitchAlert
He Instagram his watch like MadRichAlert,MadRichAlert
He only wanna see that ass in reverse,reverse
Two-thousand-dollar bag with no cash in your purse,purse
"Now you sittin' courtside, wifey on the other side",side
"Gotta keep 'em separated, I call that apartheid",apartheid
"Then she said she impregnated, that's the night your heart died",died
Then you gotta go and tell your girl and report that,that
Main reason cause your pastor said you can't abort that,that
Now your driver say that new Benz you can't afford that,that
All that cocaine on the table you can't snort that,that
That goin' to that owin' money that the court got,got
"All in on that alimony, uh, yeah-yeah, she got you homie, yeah",yeah
"'til death but do your part, unholy matrimony",matrimony
For my theme song black,black
My leather black jeans on black,black
My by-any-means on,on
"Pardon, I'm getting my scream on",on
Enter the kingdom black,black
But watch who you bring home,home
They see a black man with a white woman,woman
At the top floor they gone come to kill King Kong,Kong
Middle America packed in black,black
Came to see me in my black skin black,black
Number one question they're askin',askin
Fuck every question you askin' black,black
If I don't get ran out by Catholics black,black
Here come some conservative Baptists,Baptists
Claiming I'm overreactin',overreactin
Like them black kids in Chiraq bitch,bitch
Stop all that coon shit black,black
Early morning cartoon shit black,black
This is that goon shit,shit
Fuck up your whole afternoon shit,shit
I'm aware I'm a wolf,wolf
Soon as the moon hit,hit
I'm aware I'm a king,king
Back out the tomb bitch black,black
"Black out the room, bitch black",black
These niggas ain't doin' shit black,black
Them niggas ain't doin' shit,shit
Come on homie what happened,happened
"You niggas ain't breathin', you gaspin'",gaspin
These niggas ain't ready for action,action
Ready-ready for action,action
They smile in my face is what I don't like,like
"They steal your whole sound, that's a soundbite",soundbite
The media crucify me like they did Christ,Christ
They want to find me not breathing like they found Mike,Mike
A girl'll run her mouth only out of spite,spite
But I never hit a woman never in my life,life
I was in too deep like Mekhi Phife',Phife
In that pussy so deep I could have drowned twice,twice
Rose gold Jesus piece with the brown ice,ice
"Eating good, vegetarian with the brown rice",rice
"Girls kissing girls, cause it's hot, right",right
But unless they use a strap-on then they not dykes,dykes
"They ain't about that life, they ain't about that life",life
We hanging out that window it's about to be a Suge night,night
"Free Bump J, real nigga for life",life
"Shoutout to Derrick Rose, man that nigga nice",nice
"Shout out to L-E-P, Jay Boogie right",right
"Chief Keef, King Louie, this is Chi, right Right",Right
"The best living or dead hands down, huh",huh
"Less talk, more head right now, huh",huh
And my eyes more red than the devil is,is
"And I'm about to take it to another level, bitch",bitch
No matter who you go and get,get
Ain't nobody cold as this,this
"Do the rap and the track, triple double no assists",assists
And my only focus is staying on some bogus shit,shit
"Arguing with my older bitch, acting like I owe her shit",shit
I heard that people sing raps to give the track pain,pain
Bought the chain that always give me back pain,pain
Fucking up my money so yeah I had to act sane,sane
Chi nigga but these hoes love my accent,accent
Chick came up to me and said,said
"This the number to dial
If you wanna make your 1 your 2 now",now
Mix that Goose and Malibu I call it Malibooyah,Malibooyah
"Goddamn, Yeezy, how he hit them with a new style",style
Know that motherfucker well: What you gonna do now,now
Whatever I want to do Gosh It's cool now,now
"Know I'm gonna do, ah, it's the new now",now
Think you motherfuckers really really need to cool out,out
Cause you'll never get on top of this,this
"So mommy, best advice is just to get on top of this",this
Have you ever had sex with a pharaoh,pharaoh
Put the pussy in a sarcophagus,sarcophagus
Now she claiming that I bruised her esophagus,esophagus
Head of the class and she just won a swallowship,swallowship
I'm living in the future so the present is my past,past
"My presence is a present, kiss my ass",ass
"This Ye, nigga",nigga
"Shoppin' for the winter and it’s just May, nigga",nigga
"Ball so hard, man, this shit cray, nigga",nigga
And you ain't gettin' money 'less you got eight figures,figures
"For that Jesus piece, man, I've been saved, nigga",nigga
"Just talked to Farrakhan, that's sensei, nigga",nigga
"Told him I've been on ten since the 10th grade, nigga",nigga
"Got a middle finger longer than Dikembe, my nigga, uh",uh
I don't let 'em play with me,me
I don't let 'em talk to me no kind of way,way
"Uh, they better watch what they say to me",me
Niggas still gettin' popped on the day to day,day
"Yeah, I still got the hundred with the small face, nigga",nigga
"Might spend 50 racks on my off day, nigga",nigga
You a fake Denzel like the Allstate nigga,nigga
"If you run into me, better have Allstate with yah",yah
You a Rico Suave nigga,nigga
"Ride 'round listen to Sade, nigga",nigga
"If you ain't with us, you in our way, nigga",nigga
"You an actor, you should be on Broadway, nigga",nigga
"Cause you do shit the broad way, nigga",nigga
"Your bitch got a ass, but my broad way thicker",thicker
"Late for the class, in the hallway, nigga",nigga
"Yeah, the dropout at it as always nigga, as always",always
"All day, nigga",nigga
"I could do this all day, boy, I'm finna turn this bitch out",out
"They need that Ye in the streets, boy, there's been a mothafuckin' drought",drought
"Don't really matter what I make, boy, you know I still go wild",wild
"Like a light skinned slave, boy, we in the mothafuckin' house",house
"Right now, you lookin' real sus right now",now
I swear I've been on this flight like a month right now,now
"Stupid niggas gettin' money, Forrest Gump right now",now
"Shout-out to Jackie Chan, I need to stunt right now",now
"They've been lookin' at the Gram, I've been lookin' at the Grammys",Grammys
"Like, huh, that's us right now",now
"24/7, 365 days, everybody gettin' paid",paid
Niggas lookin' at me like I'm worth both MJs,MJs
"People saying, Ye, Ye, take it easy",easy
20 Gs for the Yeezys off of eBay,eBay
Niggas do the most and they ain't done shit,shit
"Only way I can sum it up, sumbitch",sumbitch
"I told, I told, ay ay, I told you",you
"Up in the morning, miss you bad",bad
Sorry I ain't called you back,back
Same problem my father had,had
"All his time, all he had, all he had",had
In what he dreamed,dreamed
"All his cash, market crashed",crashed
"Hurt him bad, people get divorced for that",that
Drops some stacks pops is good,good
Momma pass in Hollywood,Hollywood
"If you ask, lost my soul",soul
"Driving fast, lost control",control
"Off the road, jaw was broke",broke
'Member we all was broke,broke
'Member I'm coming back,back
I'll be taking all the stacks,stacks
Soon as they like you make 'em unlike you,you
Cause kissin' people ass is so unlike you,you
The only rapper compared to Michael,Michael
So here's a few hatin'-ass niggas to fight you,you
And here's a few snake-ass niggas to bite you,you
And I don't even wanna hear 'bout what niggas might do,do
Old niggas mentally still in high school,school
Since the tight jeans they ain't never liked you,you
Pink-ass polos with a fuckin' backpack,backpack
But everybody know you brought real rap back,back
"Nobody had swag, man, we the Rat Pack",Pack
"Virgil, Pyrex, Don C snapback",snapback
"Ibn diamond, Chi-town shinin'",shinin
"Monop' in this bitch again, changed the climate",climate
"Hop in this bitch again, same thing I'm in",in
Until the day I get struck by lightning,lightning
I just talked to Jesus,Jesus
"He said, What up, Yeezus",Yeezus
"I said, Shit I'm chillin'",chillin
Tryna stack these millions,millions
I know he the most high,high
But I am a close high,high
"Mi casa, su casa",casa
That's our cosa nostra,nostra
I am a god,god
For all my Southside niggas that know me best,best
I feel like me and Taylor might still have sex,sex
Why I made that bitch famous God damn,damn
I made that bitch famous,famous
For all the girls that got dick from Kanye West,West
If you see 'em in the streets give 'em Kanye's best,best
Why They mad they ain't famous God damn,damn
"They mad they're still nameless Talk that talk, man",man
Her man in the store tryna try his best,best
But he just can't seem to get Kanye fresh,fresh
But we still hood famous God damn,damn
Yeah we still hood famous,famous
I be Puerto Rican day parade floatin',floatin
That Benz Marina Del Rey coastin',coastin
She in school to be a real estate agent,agent
Last month I helped her with the car payment,payment
"Young and we alive, whoo",whoo
"We never gonna die, whoo",whoo
I just copped a jet to fly over personal debt,debt
Put one up in the sky,sky
"The sun is in my eyes, whoo",whoo
"Woke up and felt the vibe, whoo",whoo
"No matter how hard they try, whoo",whoo
We never gonna die,die
Hey baby you forgot your Ray Bans,Bans
And my sheets still orange from your spray tan,tan
It was more than soft porn for the K-man,K-man
"She remember my Sprinter, said I was in the grape van",van
"Uhm, well cutie, I like your bougie booty",booty
"Come Erykah Badu me, well, let's make a movie",movie
"Hell, you know my repertoire is like a wrestler",wrestler
"I show you the ropes, connect the dots",dots
A country girl that love Hollywood,Hollywood
Mama used to cook red beans and rice,rice
"Now it's Denny's, 4 in the morning, spoil your appetite",appetite
Liquor pouring and niggas swarming your section with erection,erection
"Smoke in every direction, middle finger pedestrians",pedestrians
"R&B singers and lesbians, rappers and managers",managers
Music and iPhone cameras,cameras
"This shit unanimous for you, it's damaging for you, I think",think
"That pussy should only be holding exclusive rights to me, I mean",mean
He flew you in this motherfucker on first class,class
Even went out his way so you could check in an extra bag,bag
Now you wanna divide the yam like it equate the math,math
"That shit don't add up, you're making him mad as fuck",fuck
She said she came out here to find an A-list rapper,rapper
"I said baby, spin that round and say the alphabet backwards",backwards
"You're dealing with malpractice, don't kill a good nigga's confidence",confidence
Just cause he a nerd and you don't know what a condom is,is
"The head still good though, the head still good though",though
Make me say Nam Myoho Renge Kyo,Kyo
Make a nigga say big words and act lyrical,lyrical
Make me get spiritual,spiritual
"Make me believe in miracles, Buddhist monks and Cap'n Crunch cereal",cereal
"Lord have mercy, thou will not hurt me",me
Five buddies all herded up on a Thursday,Thursday
